row ID,Activity,a_acc,a_don,density,FCharge,logP(o/w),logS,PC+,PC-,TPSA,Weight
1926,1,0.1,0.08,0.080361,0,0.612092,0.639875,0,0,0.071673,0.169486
1927,0,0.1,0,0.061286,0,0.716275,0.507095,0,0,0.057534,0.23708
1928,0,0.075,0,0.069044,0,0.626548,0.610161,0,0,0.075837,0.159849
1929,0,0.1,0.12,0.131968,0,0.525115,0.743444,0,0,0.08175,0.101943
1930,0,0.025,0,0.040059,0,0.582764,0.687681,0,0,0.021941,0.097126
1932,0,0.025,0.04,0.040059,0,0.56949,0.697632,0,0,0.026003,0.09834
1937,1,0.025,0,0.038286,0,0.635004,0.5381,0,0,0.033805,0.161101
1940,0,0.025,0,0.052697,0,0.535344,0.725483,0,0,0.033805,0.077824
1942,0,0.025,0,0.035073,0,0.537531,0.733113,0,0,0.021941,0.068186
1943,0,0,0,0.003401,0,0.557351,0.74671,0,0,0,0.025967
1944,0,0.025,0,0.046425,0,0.500222,0.81941,0,0,0.021941,0.027155
